[acid],[metal],O/A,time,T,E_Ni,E_Co
0.3,50,0.333333333,10,27,94.23790236,94.91411031
0.5,100,0.2,20,40,96.44420976,96.35718896
0.7,200,0.142857143,30,60,91.06216038,91.26377053
1,300,0.1,40,80,86.93883328,86.88047849
0.01,400,2,60,20,86.69611497,86.85777345
0.3,500,0.666666667,70,27,99.48430094,99.31520747
0.5,600,0.4,80,40,100,99.59760306
0.7,700,0.285714286,90,60,99.74792657,98.88048546
1,800,3,100,80,99.72143361,99.43718957
0.01,900,1,120,20,100,100
0.5,50,0.428571429,170,40,74.65569844,75.02804245
0.7,100,0.3,180,60,97.47984923,95.15231549
1,200,4,200,80,99.72293739,99.44778656
0.01,300,1.333333333,220,20,99.59382126,99.81366841
0.3,400,0.8,230,27,99.89845888,99.76956622
0.5,500,0.571428571,240,40,51.24048275,50.6047374
0.7,600,0.6,250,60,99.97705216,99.79463801
1,700,5,270,80,99.83268248,99.6912163
0.01,800,1.666666667,290,20,99.9795272,100
0.3,900,0.714285714,300,27,100,99.7551612
0.5,5,7,320,40,100,100.5538722
0.7,50,2.333333333,330,60,87.29295139,88.34872945
1,100,1.4,350,80,98.36787352,97.3663287
0.01,200,0.7,360,20,52.14585837,51.40279919
0.3,300,10,380,27,54.78957014,49.5047048
0.5,400,3.333333333,400,40,100,100
0.7,500,2,420,60,100,99.75893024
1,600,1.428571429,440,80,99.84914401,99.70579083
0.01,700,1,450,20,99.70046084,99.70070883
0.3,800,0.333333333,470,27,99.89269535,99.52266299
0.5,900,0.2,490,40,98.72922045,97.96735837
0.7,5,0.142857143,500,60,88.25286973,63.73585216
1,50,0.1,520,80,91.77758553,76.64345813
0.01,100,2,530,20,96.18541477,96.65000815
0.3,200,0.666666667,540,27,91.16788486,91.10149542
0.5,300,0.4,550,40,99.64107841,99.67081042
1,500,0.2,570,80,99.88053349,99.06883531
0.01,600,3,580,20,99.64107841,99.67081042
0.3,700,1,590,27,99.91580695,99.46892725
0.5,800,0.6,600,40,46.43234907,48.77171969
0.7,900,0.428571429,620,60,99.8762037,99.29250676
0.01,50,4,660,20,99.59425236,98.69834942
0.3,100,1.333333333,670,27,99.8005498,99.75218161
0.5,200,0.8,680,40,99.5428085,99.29377684
0.7,300,0.571428571,700,60,98.98553983,97.6175033
1,400,0.6,720,80,100,99.45088379
0.01,5,1,120,20,91.24766269,98.11046106
0.3,50,0.333333333,15,20,99.61957373,99.8355694
0.5,100,0.2,25,20,99.56596618,99.65791438
0.7,200,0.142857143,35,20,79.72656306,80.41762493
1,300,0.1,45,20,90.66083502,83.484273
0.01,400,2,50,20,99.9999001,99.9999001
0.3,500,0.666666667,55,20,99.9999001,99.9999001
0.5,600,0.4,65,20,99.9999001,99.9999001
0.7,700,0.285714286,70,20,99.9999001,99.9999001
1,800,3,85,20,99.9999001,99.9999001
0.01,900,1,90,35,99.9999001,99.9999001
0.3,5,0.6,95,35,99.9999001,99.9999001
0.5,50,0.428571429,100,35,99.9999001,99.9999001
0.7,100,0.3,140,35,99.35647892,98.96223084
1,200,4,130,35,99.9999001,99.9999001
0.01,300,1.333333333,150,35,99.48118722,99.7776532
0.3,400,0.8,160,35,99.9999001,99.9999001
0.5,500,0.571428571,170,35,99.9999001,99.9999001
0.7,600,0.6,180,35,99.9999001,99.9999001
1,700,5,190,35,99.9999001,99.9999001
0.01,800,1.666666667,200,45,99.9999001,99.9999001
0.3,900,0.714285714,210,45,99.9999001,99.9999001
0.7,50,2.333333333,230,45,99.9999001,99.9999001
1,100,1.4,240,45,92.85330645,93.37694107
0.01,200,0.7,250,45,99.9999001,99.9999001
0.3,300,10,260,45,99.9999001,99.9999001
0.5,400,3.333333333,270,45,99.9999001,99.9999001
0.7,500,2,280,45,99.9999001,99.9999001
1,600,1.428571429,290,45,99.9999001,99.9999001
0.01,700,1,300,20,99.9999001,99.9999001
0.3,800,0.333333333,310,20,99.9999001,99.9999001
0.5,900,0.2,320,20,86.42796713,90.96038559
0.7,5,0.142857143,330,20,97.14488121,94.15827558
1,50,0.1,340,20,99.9999001,99.9999001
0.01,100,2,350,20,99.80402156,99.88436975
0.3,200,0.666666667,360,20,99.9999001,85.01478473
0.5,300,0.4,15,20,93.1993124,99.9999001
0.7,400,0.285714286,25,20,99.9999001,99.98378843
1,500,0.2,35,20,99.9999001,99.9999001
0.01,600,3,45,70,99.9999001,99.9999001
0.3,700,1,50,70,99.9999001,99.9999001
0.5,800,0.6,55,70,99.9999001,99.9999001
0.7,900,0.428571429,65,70,95.34136938,89.58056422
1,5,0.3,70,70,99.9999001,99.9999001
0.01,50,4,85,70,99.88596215,99.80142117
0.3,100,1.333333333,90,70,99.84965684,99.84052636
0.5,200,0.8,95,70,99.9999001,99.9999001
0.7,300,0.571428571,100,70,99.9999001,99.9999001
1,400,0.6,140,70,99.9999001,99.9999001
0.99,50,10,50,32.2,100,99.9067395
0.01,300,10,69,30.9,100,100
0.87,5,10,10,44.4,100,97.69922239
1,50,10,49,39,100,99.85772191
0.01,300,10,45,27.7,100,99.97780801
