[acid],[metal],O/A,time,T,E_Ni,E_Co,S_Ni_Co,S_Co_Ni
0.01,5,1,5,20,0.01,0.01,1,1
0.3,50,0.333333333,10,27,99.75207516,99.27083798,2.95531827,0.338373031
0.5,100,0.2,20,40,74.43193449,62.87805106,1.71867252,0.581844411
0.7,200,0.142857143,30,60,56.6800838,98.68513157,0.017433053,57.36229905
1,300,0.1,40,80,54.82854162,63.2952554,0.703871907,1.420713045
0.01,400,2,60,20,99.89143085,99.99,0.092016396,10.86762837
0.3,500,0.666666667,70,27,60.00809754,57.94341355,1.089099948,0.918189375
0.5,600,0.4,80,40,99.99,99.99,1,1
0.7,700,0.285714286,90,60,99.999,99.71570946,285.0982064,0.003507563
1,800,3,100,80,95.98078952,90.12504388,2.616575393,0.382178936
0.01,900,1,120,20,94.76198301,89.16521142,2.198326703,0.45489144
0.3,5,0.6,150,27,99.99,99.99,1,1
0.5,50,0.428571429,170,40,51.39560365,50.82461863,1.023113996,0.977408191
0.7,100,0.3,180,60,55.78850269,54.74882261,1.042952626,0.958816321
1,200,4,200,80,99.8571747,99.81797874,1.274933353,0.784354725
0.01,300,1.333333333,220,20,82.56438094,81.09841273,1.103675186,0.906063679
0.3,400,0.8,230,27,80.04578044,80.87564845,0.948577108,1.054210556
0.5,500,0.571428571,240,40,52.44987128,52.89766852,0.982197,1.018125691
0.7,600,0.6,250,60,52.81965526,51.44385901,1.056683867,0.946356835
1,700,5,270,80,95.2056314,87.96515572,2.716820947,0.368077256
0.01,800,1.666666667,290,20,78.30293815,70.9272048,1.47928235,0.676003469
0.3,900,0.714285714,300,27,60.71422064,52.4564167,1.400710363,0.713923468
0.5,5,7,320,40,99.99,99.99,1,1
0.7,50,2.333333333,330,60,99.99,99.99,1,1
1,100,1.4,350,80,98.91591207,96.17234141,3.631488355,0.275369188
0.01,200,0.7,360,20,40.48172564,40.64978844,0.993053549,1.006995041
0.3,300,10,380,27,90.53018652,84.43825848,1.76185807,0.567582609
0.5,400,3.333333333,400,40,85.79449262,85.9648107,0.986052921,1.014144352
0.7,500,2,420,60,99.99,99.53967178,46.24107942,0.021625793
1,600,1.428571429,440,80,95.66380318,89.8128988,2.502364455,0.399622045
0.01,700,1,450,20,99.43309461,97.93620741,3.696095112,0.270555808
0.3,800,0.333333333,470,27,53.56958824,51.74548962,1.075922985,0.929434554
0.5,900,0.2,490,40,50.50832546,48.54144425,1.081871602,0.924324105
0.7,5,0.142857143,500,60,55.06865956,52.53548816,1.107315494,0.903084988
1,50,0.1,520,80,55.94084026,55.43849837,1.02056609,0.979848351
0.01,100,2,530,20,96.18541477,96.18541477,1,1
0.3,200,0.666666667,540,27,91.16788486,91.10149542,1.008251041,0.991816481
0.5,300,0.4,550,40,96.04545105,92.38150814,2.002920931,0.499270832
1,500,0.2,570,80,99.90975585,78.65852691,300.3775128,0.003329144
0.01,600,3,580,20,96.04545105,92.38150814,2.002920931,0.499270832
0.3,700,1,590,27,72.38354219,61.55047304,1.637312075,0.610757116
0.5,800,0.6,600,40,99.99,99.83853335,16.17116144,0.061838477
0.7,900,0.428571429,620,60,50.36094638,48.52167596,1.076363584,0.9290541
1,5,0.3,640,80,0.1,0.1,1,1
0.01,50,4,660,20,18.55685738,0.1,227.622608,0.004393237
0.3,100,1.333333333,670,27,96.137942,87.52045027,3.54948547,0.281730974
0.5,200,0.8,680,40,86.90943002,75.19842011,2.189671548,0.456689498
0.7,300,0.571428571,700,60,55.32543169,54.03081503,1.053633892,0.949096273
1,400,0.6,720,80,93.9696892,84.77625153,2.798307808,0.357358828
0.01,5,1,5,50,0.01,0.01,1,1
0.3,50,0.333333333,10,50,74.58596917,66.09851679,1.797566052,0.556307791
0.5,100,0.2,20,50,57.39586559,55.75810162,1.273300313,0.78536068
0.7,200,0.142857143,30,50,82.80620844,82.70060973,1.326240264,0.75401119
1,300,0.1,40,50,89.90224939,90.29768365,1.059608081,0.943745162
0.01,400,2,60,50,72.11314187,8.08063676,0.453409024,2.205514111
0.3,500,0.666666667,70,50,62.89366077,60.87588731,1.002555389,0.997451124
0.5,600,0.4,80,50,58.54610742,57.39524943,0.846206402,1.181744781
0.7,700,0.285714286,90,50,57.65311264,60.99030397,0.991260719,1.008816329
1,800,3,100,35,60.84328081,58.98047552,1.567921749,0.637786931
0.01,900,1,120,35,93.38525922,82.42437287,79.64117622,0.012556319
0.3,5,0.6,150,35,99.9999001,99.9999001,0.016507352,60.57906668
0.5,50,0.428571429,170,35,56.09217028,54.7526772,1.067390022,0.936864669
0.7,100,0.3,180,35,55.26547917,54.01736491,1.081171424,0.924922707
1,200,4,200,35,92.07907254,84.04735881,1.040504961,0.961071823
0.01,300,1.333333333,220,35,99.9999001,99.9999001,0.99107467,1.009005709
0.3,400,0.8,230,35,86.57550826,29.15833363,0.893560419,1.119118505
0.5,500,0.571428571,240,35,64.03781353,59.18617469,1.004838687,0.995184613
0.7,600,0.6,250,35,66.20244973,61.78948561,1.064164358,0.939704466
1,700,5,270,45,99.9999001,99.9999001,0.398896184,2.506917939
0.01,800,1.666666667,290,45,85.84688087,82.01898886,1.283646244,0.779030831
0.3,900,0.714285714,300,45,99.9999001,99.9999001,0.679379082,1.471932279
0.5,5,7,320,45,99.9999001,99.9999001,1,1
0.7,50,2.333333333,330,45,80.23783676,70.43719195,3.178298221,0.314633785
1,100,1.4,350,45,99.9999001,99.9999001,1.04952737,0.952809835
0.01,200,0.7,360,45,99.9999001,99.9999001,0.98152833,1.018819294
0.3,300,10,380,45,80.66660501,99.9999001,1.046745472,0.955342084
0.5,400,3.333333333,400,45,99.9999001,99.31232071,0.344147736,2.905728838
0.7,500,2,420,20,96.06571997,92.89565718,1.200255575,0.833155888
1,600,1.428571429,440,20,99.9999001,99.49589223,0.706397264,1.415634023
0.01,700,1,450,20,80.51809226,0.0000999,1,1
0.3,800,0.333333333,470,20,0.0000999,0.0000999,1.334163431,0.749533361
0.5,900,0.2,490,20,84.09422209,86.56710263,8.815860271,0.113431925
0.7,5,0.142857143,500,20,87.33220314,66.08878012,0.207325352,4.823336803
1,50,0.1,520,20,86.86955174,76.54229302,1.170664496,0.854215707
0.01,100,2,530,20,99.14079108,96.64083137,0.799267995,1.251144805
0.3,200,0.666666667,540,20,0.0000999,24.77958884,1.147939397,0.871126127
0.5,300,0.4,550,20,0.0000999,99.9999001,0.381794816,2.619207904
0.7,400,0.285714286,560,70,0.0000999,98.05005611,1,1
1,500,0.2,570,70,99.77334078,98.90880098,1.356907027,0.736970168
0.01,600,3,580,70,94.52803132,89.47353984,1.095519768,0.912808722
0.3,700,1,590,70,80.49897179,0.0000999,0.672712797,1.486518472
0.5,800,0.6,600,70,0.0000999,0.0000999,1,1
0.7,900,0.428571429,620,70,87.1981767,90.11143754,1,1
1,5,0.3,640,70,98.25046886,98.9622391,1,1
0.01,50,4,660,70,94.0443831,96.0924317,1.553247665,0.643812331
0.3,100,1.333333333,670,70,87.52345274,94.01861555,1.29764039,0.770629527
0.5,200,0.8,680,70,0.0000999,0.0000999,0.496140792,2.015556905
0.7,300,0.571428571,700,70,0.0000999,99.9999001,1.013894743,0.986295675
1,400,0.6,720,70,0.0000999,99.9999001,1.013894743,0.986295675
